ITEM_NAME, FACT, ID_CUST
''LOMOS DE TUNA C'',''78-20191027-11-40'',''702764''
''DETERG XTRA POW 3K'',''20-20200316-7-120'',''740827''
''DEL MONTE JUGO'',''108-20191016-12-46'',''547897''
''TOSTY RUMBA 175G'',''108-20200301-16-229'',''547897''
''YOGURT LIQ/DELI'',''169-20191027-2-421'',''519849''
''YOGURT LIQ/LINE'',''169-20191011-2-349'',''519849''
''NATILLA LA GRANJA'',''123-20200215-12-38'',''528218''
''NATILLA LA GRANJA'',''108-20200206-12-79'',''985035''
''DELIGURT BAT CIRUE'',''108-20200116-18-381'',''547897''
''At?n Lomo/FIRST'',''108-20200305-17-89'',''985035''
''At?n Lomo/FIRST'',''20-20200326-6-35'',''740827''
''At?n Lomo/FIRST'',''104-20200125-9-312'',''519849''
''At?n Lomo/FIRST'',''108-20200206-12-79'',''985035''
''COCA COLA SOD2.5LT'',''108-20191220-16-277'',''985035''
''HUG PA? CL SPONG50'',''123-20200326-10-163'',''528218''
''KOT TOA ECO BOL10S'',''108-20191118-18-86'',''547897''
''SCOTT TRIPLE PROT'',''106-20200208-10-255'',''1502878''
''Jugo CIFRUT Citr P'',''78-20191124-11-171'',''702764''
''TORT DE MAIZ NUE'',''104-20191129-14-71'',''519849''
''JAMON COCIDO REBAN'',''106-20200320-5-149'',''1502878''
''MORTADELA B/R 8'',''108-20191231-13-252'',''547897''
''DO?A OREG ENT 10G'',''20-20200122-3-168'',''740827''
''DO?A OREG ENT 10G'',''20-20200204-4-165'',''740827''
''DO?A OREG ENT 10G'',''104-20200215-5-450'',''519849''
''DO?A OREG ENT 10G'',''123-20200112-7-328'',''528218''
''DO?A OREG ENT 10G'',''123-20191017-10-129'',''528218''
''LA DO?A PIMIEN30G'',''123-20200112-7-328'',''528218''
''LA DO?A PIMIEN30G'',''193-20191222-3-240'',''429188''
''LA DO?A PIMIEN30G'',''104-20191224-9-52'',''528218''
